UniProt_Accession_for_Protein_Group	UniProt_ID_for_Protein_Group	UniProt_Protein_Description	Quantified_Peptides_Experiment_1	Quantified_Peptides_Experiment_1.1	Quantified_PSMs_(Rep_1)_Experiment_1	Quantified_PSMs_(Rep_1)_Experiment_1.1	126	127N	127C	128N	128C	129N	129C	130N	130C	131	126.1	127N.1	127C.1	128N.1	128C.1	129N.1	129C.1	130N.1	130C.1	131.1	phenoDisco_Input	phenoDisco_Output	Curated_phenoDisco_Output	SVM_marker_set	SVM_classification	SVM_score	SVM_classification_(top_quartile)	Final_Localization_Assignment	First_localization_evidence?	Curated_Organelles	Cytoskeletal_Components	Trafficking_Proteins	Protein_Complexes	Signaling_Cascades	Oct4_Interactome	Nanog_Interactome	Sox2_Interactome	Cell_Surface_Proteins	uniprot_id	isoforms	max_fraction	min_difference	mean_expression	length	classified	low_fraction	AS	temp_binary
P63024	VAMP3_MOUSE	Vesicle-associated membrane protein 3 OS=Mus musculus GN=Vamp3 PE=1 SV=1 - [VAMP3_MOUSE]	1	1	1	1	0.0	0.129	0.145	0.107	0.52	0.087	0.0	0.0	0.0	0.012	0.0	0.094	0.093	0.171	0.3	0.236	0.097	0.0	0.0	0.01	unknown	unknown	unknown	unknown	Endosome	0.322	unclassified	unclassified	N										P63024	1	1.0		31.4317718245	103	False	False	False	False
P63030	MPC1_MOUSE	Mitochondrial pyruvate carrier 1 OS=Mus musculus GN=Mpc1 PE=1 SV=1 - [MPC1_MOUSE]	1	2	1	3	0.085	0.044	0.043	0.015	0.054	0.084	0.114	0.23	0.132	0.199	0.001	0.023	0.023	0.023	0.03	0.147	0.278	0.289	0.077	0.108	unknown	unknown	unknown	unknown	Mitochondrion	0.813	unclassified	Mitochondrion	N										P63030	1	1.0		2.4211542555	109	True	False	False	False
P63034-3	CYH2_MOUSE	Isoform 3 of Cytohesin-2 OS=Mus musculus GN=Cyth2 - [CYH2_MOUSE]	1	2	1	2	0.229	0.271	0.206	0.055	0.093	0.057	0.037	0.054	0.0	0.0	0.089	0.196	0.111	0.163	0.149	0.121	0.089	0.021	0.008	0.054	unknown	unknown	unknown	unknown	Actin cytoskeleton	0.388	unclassified	unclassified	N										P63034	2	0.643659795333	0.553615756725	20.949796194	400	False	True	True	False
P63044	VAMP2_MOUSE	Vesicle-associated membrane protein 2 OS=Mus musculus GN=Vamp2 PE=1 SV=2 - [VAMP2_MOUSE]	1	1	1	1	0.0	0.091	0.135	0.137	0.489	0.062	0.068	0.019	0.0	0.0	0.0	0.081	0.096	0.157	0.29	0.234	0.108	0.021	0.008	0.005	unknown	unknown	unknown	unknown	Endosome	0.399	unclassified	unclassified	N										P63044	1	1.0		3.61353184	116	False	False	False	False
P63216	GBG3_MOUSE	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3 OS=Mus musculus GN=Gng3 PE=1 SV=1 - [GBG3_MOUSE]	1	3	1	4	0.003	0.178	0.134	0.129	0.322	0.105	0.05	0.036	0.015	0.027	0.003	0.197	0.152	0.217	0.197	0.127	0.086	0.009	0.01	0.003	unknown	unknown	unknown	unknown	Plasma membrane	0.453	unclassified	unclassified	N										P63216	1	1.0		15.7338881955	75	False	False	False	False
P63254	CRIP1_MOUSE	Cysteine-rich protein 1 OS=Mus musculus GN=Crip1 PE=2 SV=2 - [CRIP1_MOUSE]	1	2	1	2	0.054	0.074	0.036	0.031	0.157	0.161	0.084	0.178	0.064	0.161	0.177	0.093	0.078	0.093	0.109	0.105	0.084	0.074	0.042	0.146	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.252	unclassified	unclassified	Y										P63254	1	1.0		24.896368982	77	False	False	False	False
P63328-2	PP2BA_MOUSE	Isoform 2 of Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform OS=Mus musculus GN=Ppp3ca - [PP2BA_MOUSE]	1	1	1	1	0.081	0.368	0.227	0.1	0.109	0.081	0.009	0.008	0.007	0.008	0.085	0.123	0.13	0.229	0.135	0.149	0.093	0.035	0.009	0.01	unknown	unknown	unknown	unknown	Plasma membrane	0.487	unclassified	unclassified	N										P63328	1	1.0		3.63923146475	521	False	False	False	False
P70208-2	PLXA3_MOUSE	Isoform 2 of Plexin-A3 OS=Mus musculus GN=Plxna3 - [PLXA3_MOUSE]	1	2	1	2	0.0	0.185	0.144	0.094	0.236	0.123	0.025	0.118	0.0	0.074	0.015	0.157	0.098	0.168	0.221	0.148	0.107	0.044	0.022	0.019	unknown	unknown	unknown	unknown	Plasma membrane	0.468	unclassified	unclassified	N										P70208	1	1.0		1.525885714	1872	False	False	False	False
P70270	RAD54_MOUSE	DNA repair and recombination protein RAD54-like OS=Mus musculus GN=Rad54l PE=1 SV=2 - [RAD54_MOUSE]	1	3	1	3	0.238	0.034	0.028	0.069	0.063	0.041	0.028	0.177	0.113	0.208	0.134	0.062	0.06	0.068	0.089	0.077	0.097	0.061	0.137	0.215	unknown	unknown	unknown	unknown	60S Ribosome	0.45	60S Ribosome	unclassified	N										P70270	3	0.450224153612	0.615678367973	30.7400164717	747	False	True	True	False
P70333	HNRH2_MOUSE	Heterogeneous nuclear ribonucleoprotein H2 OS=Mus musculus GN=Hnrnph2 PE=1 SV=1 - [HNRH2_MOUSE]	1	3	1	3	0.233	0.012	0.065	0.0	0.016	0.0	0.024	0.022	0.548	0.081	0.139	0.023	0.019	0.016	0.029	0.028	0.04	0.029	0.506	0.171	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.708	unclassified	Nucleus - Non-chromatin	N							Prey			P70333	1	1.0		21.1489247005	449	True	False	False	False
P70424	ERBB2_MOUSE	Receptor tyrosine-protein kinase erbB-2 OS=Mus musculus GN=Erbb2 PE=1 SV=3 - [ERBB2_MOUSE]	1	6	1	6	0.0	0.387	0.246	0.125	0.098	0.089	0.046	0.009	0.0	0.0	0.009	0.231	0.138	0.151	0.221	0.121	0.091	0.021	0.006	0.011	unknown	unknown	unknown	unknown	Plasma membrane	0.729	unclassified	Plasma membrane	N										P70424	1	1.0		2.39385594575	1256	True	False	False	False
P70451-2	FER_MOUSE	Isoform 2 of Tyrosine-protein kinase Fer OS=Mus musculus GN=Fer - [FER_MOUSE]	1	1	1	1	0.038	0.141	0.112	0.082	0.112	0.0	0.033	0.213	0.036	0.233	0.232	0.012	0.03	0.024	0.049	0.069	0.028	0.062	0.232	0.263	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.139	unclassified	unclassified	N										P70451	2	0.981702795336	0.0186382322139	10.353539132	823	False	False	False	False
P81117	NUCB2_MOUSE	Nucleobindin-2 OS=Mus musculus GN=Nucb2 PE=1 SV=2 - [NUCB2_MOUSE]	1	7	1	8	0.0	0.076	0.097	0.045	0.251	0.188	0.078	0.126	0.0	0.138	0.007	0.051	0.093	0.158	0.254	0.212	0.154	0.066	0.003	0.003	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.621	unclassified	unclassified	N									High Confidence	P81117	1	1.0		3.4421879495	420	False	False	False	False
P82343-2	RENBP_MOUSE	Isoform 2 of N-acylglucosamine 2-epimerase OS=Mus musculus GN=Renbp - [RENBP_MOUSE]	1	7	1	8	0.541	0.121	0.129	0.048	0.082	0.024	0.009	0.023	0.007	0.017	0.446	0.119	0.126	0.093	0.098	0.062	0.03	0.012	0.007	0.007	unknown	unknown	unknown	unknown	Cytosol	0.873	Cytosol	Cytosol	Y										P82343	2	0.819495686517	0.220262676732	10.3024076952	430	True	True	True	False
P83887	TBG1_MOUSE	Tubulin gamma-1 chain OS=Mus musculus GN=Tubg1 PE=1 SV=1 - [TBG1_MOUSE]	1	2	1	2	0.122	0.221	0.129	0.0	0.0	0.0	0.0	0.148	0.227	0.154	0.12	0.029	0.056	0.043	0.05	0.095	0.058	0.089	0.142	0.318	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.193	unclassified	unclassified	N		MTOC								P83887	1	1.0		9.68556446675	451	False	False	False	False
P84084	ARF5_MOUSE	ADP-ribosylation factor 5 OS=Mus musculus GN=Arf5 PE=2 SV=2 - [ARF5_MOUSE]	1	2	1	3	0.284	0.085	0.092	0.071	0.138	0.169	0.073	0.049	0.01	0.027	0.312	0.104	0.135	0.131	0.11	0.097	0.049	0.029	0.013	0.02	unknown	unknown	unknown	unknown	Cytosol	0.242	unclassified	unclassified	N										P84084	1	1.0		37.154921039	180	False	False	False	False
P97379	G3BP2_MOUSE	Ras GTPase-activating protein-binding protein 2 OS=Mus musculus GN=G3bp2 PE=1 SV=2 - [G3BP2_MOUSE]	1	2	1	4	0.114	0.032	0.015	0.016	0.036	0.031	0.057	0.137	0.041	0.521	0.037	0.019	0.027	0.025	0.024	0.058	0.05	0.045	0.042	0.673	unknown	unknown	unknown	unknown	Mitochondrion	0.134	unclassified	unclassified	Y										P97379	5	0.448373875209	0.577546297366	251.989577783	482	False	True	True	False
P97402	GCNT2_MOUSE	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase OS=Mus musculus GN=Gcnt2 PE=2 SV=1 - [GCNT2_MOUSE]	1	1	1	1	0.033	0.081	0.09	0.072	0.146	0.184	0.108	0.134	0.072	0.081	0.004	0.063	0.134	0.212	0.19	0.22	0.091	0.061	0.011	0.015	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.477	unclassified	unclassified	N										P97402	3	0.475740355737	0.997458738246	13.2396888645	401	False	True	True	False
P97434-2	MPRIP_MOUSE	Isoform 2 of Myosin phosphatase Rho-interacting protein OS=Mus musculus GN=Mprip - [MPRIP_MOUSE]	1	1	1	1	0.015	0.096	0.055	0.04	0.092	0.181	0.216	0.16	0.029	0.116	0.012	0.086	0.108	0.107	0.09	0.255	0.141	0.126	0.048	0.028	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.77	unclassified	Endoplasmic reticulum/Golgi apparatus	N										P97434	2	0.95590249969	0.0461317972533	12.2445266843	1024	True	False	False	False
P97797-2	SHPS1_MOUSE	Isoform 2 of Tyrosine-protein phosphatase non-receptor type substrate 1 OS=Mus musculus GN=Sirpa - [SHPS1_MOUSE]	1	2	1	3	0.086	0.298	0.112	0.086	0.325	0.093	0.0	0.0	0.0	0.0	0.0	0.161	0.135	0.228	0.211	0.142	0.083	0.033	0.003	0.005	unknown	unknown	unknown	unknown	Plasma membrane	0.427	unclassified	unclassified	N										P97797	2	0.534723015587	0.734575016377	0.643187968727	513	False	True	True	False
P97929	BRCA2_MOUSE	Breast cancer type 2 susceptibility protein homolog OS=Mus musculus GN=Brca2 PE=1 SV=2 - [BRCA2_MOUSE]	1	8	1	10	0.066	0.103	0.11	0.08	0.099	0.139	0.104	0.069	0.127	0.102	0.098	0.019	0.044	0.029	0.036	0.075	0.082	0.136	0.313	0.168	unknown	unknown	unknown	unknown	60S Ribosome	0.154	unclassified	unclassified	N							Prey			P97929	2	0.696298726554	0.43616520017	15.6278420795	3329	False	True	True	False
P98083-3	SHC1_MOUSE	Isoform p47Shc of SHC-transforming protein 1 OS=Mus musculus GN=Shc1 - [SHC1_MOUSE]	1	3	1	6	0.131	0.174	0.167	0.087	0.084	0.099	0.095	0.048	0.042	0.073	0.143	0.078	0.109	0.106	0.091	0.128	0.105	0.099	0.044	0.096	unknown	unknown	unknown	unknown	Cytosol	0.151	unclassified	unclassified	N					FGF/MAPK					P98083	2	0.516584396826	0.935792110921	27.1409971665	579	False	True	True	False
Q04207-2	TF65_MOUSE	Isoform p65 delta of Transcription factor p65 OS=Mus musculus GN=Rela - [TF65_MOUSE]	1	3	1	3	0.431	0.204	0.098	0.034	0.036	0.019	0.013	0.087	0.019	0.06	0.285	0.135	0.14	0.103	0.133	0.076	0.058	0.027	0.018	0.025	unknown	unknown	unknown	unknown	Cytosol	0.561	unclassified	unclassified	N										Q04207	1	1.0		4.36038880575	549	False	False	False	False
Q04735	CDK16_MOUSE	Cyclin-dependent kinase 16 OS=Mus musculus GN=Cdk16 PE=1 SV=1 - [CDK16_MOUSE]	1	1	1	1	0.014	0.407	0.203	0.114	0.098	0.088	0.017	0.036	0.012	0.012	0.025	0.227	0.176	0.181	0.146	0.124	0.048	0.025	0.021	0.028	unknown	unknown	unknown	unknown	Plasma membrane	0.746	unclassified	Plasma membrane	N										Q04735	1	1.0		20.115508839	496	True	False	False	False
Q04841	3MG_MOUSE	DNA-3-methyladenine glycosylase OS=Mus musculus GN=Mpg PE=2 SV=3 - [3MG_MOUSE]	1	2	1	2	0.028	0.0	0.0	0.0	0.0	0.03	0.162	0.189	0.333	0.259	0.037	0.002	0.003	0.004	0.008	0.035	0.123	0.175	0.536	0.077	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.715	unclassified	Nucleus - Chromatin	N										Q04841	1	1.0		7.937099401	333	True	False	False	False
Q07235	GDN_MOUSE	Glia-derived nexin OS=Mus musculus GN=Serpine2 PE=2 SV=2 - [GDN_MOUSE]	1	2	1	2	0.054	0.118	0.153	0.107	0.209	0.144	0.045	0.064	0.048	0.058	0.015	0.079	0.103	0.195	0.253	0.164	0.07	0.054	0.034	0.032	unknown	unknown	unknown	unknown	Endosome	0.274	unclassified	unclassified	N										Q07235	1	1.0		5.924121536	397	False	False	False	False
Q07563-2	COHA1_MOUSE	Isoform 2 of Collagen alpha-1(XVII) chain OS=Mus musculus GN=Col17a1 - [COHA1_MOUSE]	1	1	1	1	0.028	0.236	0.139	0.109	0.234	0.133	0.047	0.032	0.016	0.026	0.008	0.282	0.147	0.133	0.246	0.113	0.042	0.017	0.005	0.008	unknown	unknown	unknown	unknown	Plasma membrane	0.544	unclassified	unclassified	N										Q07563	1	1.0		0.2635223665	1470	False	False	False	False
Q08024	PEBB_MOUSE	Core-binding factor subunit beta OS=Mus musculus GN=Cbfb PE=1 SV=1 - [PEBB_MOUSE]	1	4	1	4	0.623	0.082	0.135	0.031	0.043	0.019	0.026	0.023	0.018	0.0	0.475	0.092	0.112	0.082	0.089	0.046	0.035	0.019	0.03	0.018	unknown	unknown	unknown	unknown	Proteasome	0.481	unclassified	unclassified	N										Q08024	4	0.625587143999	0.377385718155	15.4463661485	187	False	True	True	False
Q0VBD2	MCM10_MOUSE	Protein MCM10 homolog OS=Mus musculus GN=Mcm10 PE=2 SV=1 - [MCM10_MOUSE]	1	8	1	9	0.266	0.031	0.051	0.015	0.03	0.054	0.026	0.126	0.221	0.18	0.23	0.032	0.043	0.039	0.051	0.078	0.064	0.065	0.202	0.195	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.528	unclassified	unclassified	N			MCMcomplex	MCM complex						Q0VBD2	1	1.0		70.563376841	885	False	False	False	False
Q148V7	K1468_MOUSE	LisH domain and HEAT repeat-containing protein KIAA1468 OS=Mus musculus GN=Kiaa1468 PE=1 SV=1 - [K1468_MOUSE]	1	3	1	4	0.42	0.295	0.187	0.038	0.0	0.032	0.0	0.028	0.0	0.0	0.336	0.102	0.139	0.124	0.106	0.091	0.048	0.024	0.007	0.022	unknown	unknown	unknown	unknown	Cytosol	0.559	unclassified	unclassified	Y										Q148V7	2	0.85686754125	0.167041522593	11.9963928255	1216	False	True	True	False
Q149F1	RUSD2_MOUSE	RNA pseudouridylate synthase domain-containing protein 2 OS=Mus musculus GN=Rpusd2 PE=2 SV=2 - [RUSD2_MOUSE]	1	4	1	4	0.851	0.041	0.0	0.0	0.023	0.0	0.0	0.024	0.027	0.034	0.595	0.035	0.074	0.043	0.04	0.046	0.058	0.053	0.02	0.036	unknown	unknown	unknown	unknown	Proteasome	0.237	unclassified	unclassified	Y										Q149F1	1	1.0		8.46849089625	553	False	False	False	False
Q149F3	ERF3B_MOUSE	Eukaryotic peptide chain release factor GTP-binding subunit ERF3B OS=Mus musculus GN=Gspt2 PE=1 SV=1 - [ERF3B_MOUSE]	1	1	1	1	0.196	0.037	0.045	0.016	0.041	0.043	0.097	0.259	0.052	0.214	0.067	0.059	0.042	0.052	0.0	0.067	0.314	0.255	0.036	0.108	unknown	unknown	unknown	unknown	Mitochondrion	0.775	unclassified	Mitochondrion	Y										Q149F3	1	1.0		2.5399864795	632	True	False	False	False
Q14AI6	RUSD3_MOUSE	RNA pseudouridylate synthase domain-containing protein 3 OS=Mus musculus GN=Rpusd3 PE=2 SV=1 - [RUSD3_MOUSE]	1	3	1	3	0.01	0.015	0.02	0.015	0.03	0.086	0.213	0.282	0.049	0.279	0.004	0.015	0.008	0.012	0.035	0.083	0.413	0.208	0.077	0.144	unknown	unknown	unknown	unknown	Mitochondrion	0.983	Mitochondrion	Mitochondrion	Y										Q14AI6	1	1.0		8.953478076	344	True	False	False	False
Q1W617-2	SHRM4_MOUSE	Isoform 2 of Protein Shroom4 OS=Mus musculus GN=Shroom4 - [SHRM4_MOUSE]	1	7	1	7	0.055	0.363	0.175	0.047	0.064	0.217	0.078	0.0	0.0	0.0	0.007	0.118	0.13	0.113	0.108	0.258	0.158	0.053	0.026	0.03	unknown	unknown	unknown	unknown	Plasma membrane	0.227	unclassified	unclassified	N										Q1W617	1	1.0		1.573136199	1475	False	False	False	False
Q3TAE8	ALG6_MOUSE	Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase OS=Mus musculus GN=Alg6 PE=2 SV=1 - [ALG6_MOUSE]	1	3	1	4	0.024	0.045	0.048	0.038	0.174	0.152	0.1	0.247	0.0	0.172	0.01	0.05	0.086	0.12	0.15	0.214	0.169	0.104	0.05	0.047	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.877	unclassified	Endoplasmic reticulum/Golgi apparatus	N										Q3TAE8	1	1.0		10.2701474865	507	True	False	False	False
Q3TB82	PKHF1_MOUSE	Pleckstrin homology domain-containing family F member 1 OS=Mus musculus GN=Plekhf1 PE=2 SV=1 - [PKHF1_MOUSE]	1	2	1	2	0.115	0.324	0.159	0.106	0.202	0.05	0.0	0.02	0.0	0.023	0.114	0.193	0.194	0.187	0.118	0.112	0.043	0.02	0.0	0.02	unknown	unknown	unknown	unknown	Actin cytoskeleton	0.426	unclassified	unclassified	N										Q3TB82	1	1.0		9.4726928695	279	False	False	False	False
Q3TC46	PATL1_MOUSE	Protein PAT1 homolog 1 OS=Mus musculus GN=Patl1 PE=1 SV=2 - [PATL1_MOUSE]	1	1	1	1	0.199	0.084	0.074	0.037	0.049	0.068	0.095	0.091	0.136	0.167	0.126	0.045	0.072	0.051	0.046	0.09	0.078	0.068	0.088	0.337	unknown	unknown	unknown	unknown	60S Ribosome	0.458	60S Ribosome	unclassified	N				Spliceosome						Q3TC46	1	1.0		4.792048146	770	False	False	False	False
Q3TCX3-2	K0907_MOUSE	Isoform 2 of UPF0469 protein KIAA0907 OS=Mus musculus GN=Kiaa0907 - [K0907_MOUSE]	1	3	1	3	0.135	0.01	0.032	0.0	0.041	0.067	0.06	0.147	0.261	0.245	0.073	0.026	0.009	0.019	0.036	0.045	0.068	0.041	0.333	0.351	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.822	unclassified	Nucleus - Non-chromatin	Y										Q3TCX3	1	1.0		17.5539321495	612	True	False	False	False
Q3TDD9	PPR21_MOUSE	Protein phosphatase 1 regulatory subunit 21 OS=Mus musculus GN=Ppp1r21 PE=2 SV=2 - [PPR21_MOUSE]	1	3	1	3	0.172	0.0	0.055	0.049	0.049	0.147	0.088	0.155	0.039	0.246	0.109	0.062	0.094	0.086	0.08	0.101	0.067	0.057	0.138	0.206	unknown	unknown	unknown	unknown	60S Ribosome	0.572	60S Ribosome	unclassified	Y										Q3TDD9	1	1.0		11.3909383143	780	False	False	False	False
Q3TEW6	MPZL1_MOUSE	Myelin protein zero-like protein 1 OS=Mus musculus GN=Mpzl1 PE=1 SV=1 - [MPZL1_MOUSE]	1	4	1	4	0.0	0.243	0.208	0.127	0.317	0.043	0.03	0.032	0.0	0.0	0.004	0.174	0.176	0.16	0.185	0.153	0.093	0.028	0.02	0.007	unknown	unknown	unknown	unknown	Plasma membrane	0.616	unclassified	Plasma membrane	Y										Q3TEW6	2	0.503669810518	0.98542771299	29.6299562885	270	True	True	True	False
Q3TGF2	F107B_MOUSE	Protein FAM107B OS=Mus musculus GN=Fam107b PE=2 SV=2 - [F107B_MOUSE]	1	1	1	1	0.07	0.112	0.069	0.045	0.058	0.094	0.124	0.176	0.137	0.116	0.178	0.13	0.136	0.123	0.109	0.096	0.04	0.037	0.114	0.037	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.177	unclassified	unclassified	Y										Q3TGF2	1	1.0		3.63353246025	131	False	False	False	False
Q3TH73-2	TTYH2_MOUSE	Isoform 2 of Protein tweety homolog 2 OS=Mus musculus GN=Ttyh2 - [TTYH2_MOUSE]	1	2	1	2	0.0	0.15	0.107	0.132	0.109	0.175	0.166	0.079	0.007	0.076	0.047	0.125	0.14	0.172	0.234	0.146	0.065	0.028	0.019	0.023	unknown	unknown	unknown	unknown	Plasma membrane	0.32	unclassified	unclassified	N									High Confidence	Q3TH73	1	1.0		11.1868951588	532	False	False	False	False
Q3TIR1-3	CE044_MOUSE	Isoform 3 of UPF0533 protein C5orf44 homolog OS=Mus musculus - [CE044_MOUSE]	1	1	1	1	0.043	0.072	0.128	0.112	0.301	0.156	0.097	0.041	0.013	0.037	0.121	0.06	0.044	0.044	0.096	0.054	0.047	0.018	0.395	0.12	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.137	unclassified	unclassified	Y										Q3TIR1	4	0.5400684487	0.408123416844	36.4171186482	417	False	True	True	False
Q3TJZ6	FA98A_MOUSE	Protein FAM98A OS=Mus musculus GN=Fam98a PE=2 SV=1 - [FA98A_MOUSE]	1	3	1	3	0.258	0.065	0.052	0.034	0.072	0.061	0.034	0.111	0.073	0.24	0.106	0.031	0.065	0.052	0.053	0.116	0.101	0.055	0.084	0.336	unknown	unknown	unknown	unknown	60S Ribosome	0.632	60S Ribosome	60S Ribosome	Y									High Confidence	Q3TJZ6	1	1.0		22.4266017475	515	True	False	False	False
Q3TP92	CNEP1_MOUSE	CTD nuclear envelope phosphatase 1 OS=Mus musculus GN=Ctdnep1 PE=2 SV=2 - [CNEP1_MOUSE]	1	2	1	2	0.043	0.044	0.065	0.033	0.164	0.117	0.087	0.221	0.043	0.184	0.035	0.071	0.095	0.113	0.155	0.157	0.147	0.122	0.055	0.049	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.691	unclassified	unclassified	N										Q3TP92	1	1.0		24.7040166145	244	False	False	False	False
Q3TQI7	CI078_MOUSE	Uncharacterized protein C9orf78 homolog OS=Mus musculus PE=1 SV=2 - [CI078_MOUSE]	1	1	1	1	0.229	0.0	0.0	0.0	0.0	0.034	0.054	0.188	0.262	0.234	0.249	0.0	0.044	0.058	0.0	0.068	0.0	0.038	0.206	0.337	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.72	unclassified	Nucleus - Non-chromatin	N										Q3TQI7	1	1.0		34.6857236005	289	True	False	False	False
Q3TQQ9-3	CA112_MOUSE	Isoform 3 of Uncharacterized protein C1orf112 homolog OS=Mus musculus - [CA112_MOUSE]	1	3	1	4	0.241	0.042	0.052	0.0	0.036	0.027	0.039	0.287	0.021	0.256	0.213	0.025	0.071	0.057	0.041	0.096	0.086	0.166	0.061	0.184	unknown	unknown	unknown	unknown	60S Ribosome	0.168	unclassified	unclassified	Y										Q3TQQ9	1	1.0		40.769094078	903	False	False	False	False
Q3TSG4	ALKB5_MOUSE	RNA demethylase ALKBH5 OS=Mus musculus GN=Alkbh5 PE=1 SV=2 - [ALKB5_MOUSE]	1	2	1	2	0.331	0.031	0.038	0.0	0.039	0.037	0.026	0.064	0.282	0.151	0.189	0.013	0.015	0.04	0.025	0.044	0.07	0.07	0.258	0.276	unknown	unknown	unknown	unknown	Nucleus - Non-chromatin	0.835	unclassified	Nucleus - Non-chromatin	N										Q3TSG4	1	1.0		32.9231010355	395	True	False	False	False
Q3TXX3-2	ZFY27_MOUSE	Isoform 2 of Protrudin OS=Mus musculus GN=Zfyve27 - [ZFY27_MOUSE]	1	1	1	2	0.0	0.013	0.07	0.031	0.225	0.343	0.153	0.095	0.0	0.071	0.0	0.044	0.096	0.175	0.199	0.26	0.109	0.095	0.003	0.019	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.73	unclassified	Endoplasmic reticulum/Golgi apparatus	N										Q3TXX3	2	0.787765869969	0.269412700044	4.0024325005	415	True	True	True	False
Q3U0L2-2	AN33B_MOUSE	Isoform 2 of Ankyrin repeat domain-containing protein 33B OS=Mus musculus GN=Ankrd33b - [AN33B_MOUSE]	1	1	1	1	0.0	0.381	0.224	0.058	0.163	0.083	0.051	0.041	0.0	0.0	0.019	0.812	0.017	0.032	0.016	0.055	0.003	0.006	0.017	0.022	unknown	unknown	unknown	unknown	Mitochondrion	0.138	unclassified	unclassified	Y										Q3U0L2	2	0.690458618197	0.427925828478	2.92696837325	486	False	True	True	False
Q3U0M1-2	TPPC9_MOUSE	Isoform 2 of Trafficking protein particle complex subunit 9 OS=Mus musculus GN=Trappc9 - [TPPC9_MOUSE]	1	1	1	1	0.106	0.177	0.154	0.131	0.162	0.14	0.03	0.036	0.03	0.036	0.073	0.085	0.098	0.136	0.146	0.172	0.083	0.044	0.052	0.11	unknown	unknown	unknown	unknown	Endosome	0.245	unclassified	unclassified	N				Transport protein particle (TRAPP)						Q3U0M1	2	0.588049101191	0.647051204095	2.47639072324	1148	False	True	True	False
Q3U1N2	SRBP2_MOUSE	Sterol regulatory element-binding protein 2 OS=Mus musculus GN=Srebf2 PE=1 SV=2 - [SRBP2_MOUSE]	1	4	1	5	0.0	0.069	0.0	0.048	0.062	0.143	0.117	0.281	0.0	0.28	0.0	0.016	0.064	0.155	0.182	0.339	0.091	0.11	0.022	0.021	unknown	unknown	unknown	unknown	Endoplasmic reticulum/Golgi apparatus	0.42	unclassified	unclassified	N										Q3U1N2	1	1.0		34.138755729	1130	False	False	False	False
Q3U1T3	BRM1L_MOUSE	Breast cancer metastasis-suppressor 1-like protein OS=Mus musculus GN=Brms1l PE=2 SV=1 - [BRM1L_MOUSE]	1	2	1	2	0.082	0.021	0.04	0.0	0.061	0.082	0.119	0.256	0.105	0.234	0.049	0.004	0.01	0.01	0.013	0.049	0.174	0.264	0.316	0.111	unknown	unknown	unknown	unknown	Nucleus - Chromatin	0.56	unclassified	unclassified	N										Q3U1T3	1	1.0		13.9759565125	323	False	False	False	False
Q3U2P1	SC24A_MOUSE	Protein transport protein Sec24A OS=Mus musculus GN=Sec24a PE=1 SV=1 - [SC24A_MOUSE]	1	3	1	3	0.105	0.0	0.043	0.04	0.062	0.1	0.061	0.234	0.056	0.299	0.087	0.046	0.068	0.063	0.119	0.153	0.106	0.073	0.054	0.232	unknown	unknown	unknown	unknown	60S Ribosome	0.389	unclassified	unclassified	N										Q3U2P1	1	1.0		6.630626594	1090	False	False	False	False
Q3U2U7	MET17_MOUSE	Methyltransferase-like protein 17, mitochondrial OS=Mus musculus GN=Mettl17 PE=2 SV=2 - [MET17_MOUSE]	1	1	1	1	0.0	0.011	0.019	0.017	0.017	0.067	0.145	0.392	0.016	0.317	0.003	0.016	0.014	0.021	0.04	0.069	0.42	0.219	0.04	0.158	unknown	unknown	unknown	unknown	Mitochondrion	0.949	unclassified	Mitochondrion	N										Q3U2U7	1	1.0		9.2183975105	461	True	False	False	False
